"Latest: Time (s)","Latest: Sound Pressure 1","Latest: Offset Pressure 1","Latest: Sound Pressure 2","Latest: Offset Pressure 2"
0.0077,2.51838684082,0.036679857618,2.44857788086,-0.0299959439974
0.0078,2.45277404785,-0.0289329353508,2.52334594727,0.0447721224088
0.0079,2.39631652832,-0.085390454882,2.58125305176,0.102679226901
0.008,2.37487792969,-0.106829053515,2.60261535645,0.124041531589
0.0081,2.39631652832,-0.085390454882,2.57820129395,0.0996274690885
0.0082,2.44819641113,-0.0335105720695,2.5080871582,0.0295133333463
0.0083,2.51075744629,0.0290504630867,2.4348449707,-0.0437288541537
0.0084,2.55805969238,0.0763527091805,2.38296508789,-0.0956087369662
0.0085,2.58399963379,0.102292650587,2.35862731934,-0.119946505521
0.0086,2.56568908691,0.0839821037117,2.39517211914,-0.0834017057162
0.0087,2.50923156738,0.0275245841805,2.45468139648,-0.0238924283724
0.0088,2.44361877441,-0.0380882087883,2.52487182617,0.0462980013151
